policy,model,key,n,total_cost,approve_all_cost,net_benefit,net_benefit_per_1000,decline_rate,review_rate,good_customer_disruption_rate,good_customer_review_rate,fraud_capture_rate_count,fraud_capture_rate_dollars,fraud_loss_remaining,false_decline_cost,review_cost_total,n_declined,n_reviewed,n_false_declines,reviews_per_day
Approve everything,full,approve_all,88581,469608.52100000007,469608.52099999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469608.52099999995,0.0,0.0,0,0,0,0.0
Rules baseline (amount > P90 and new card),full,rules,88581,447187.73926000006,469608.52099999995,22420.78174,253.11050609047086,0.03693794380284711,0.0,0.03635172752579008,0.0,0.05319493999351281,0.21025957704034084,370868.832,76318.90726,0.0,3272,0,3108,0.0
"Full model, Youden-J cutoff (AUC-optimal)",full,youden_single,88581,246268.39088,469608.52099999995,223340.13012,2521.3096501507093,0.15409625088901682,0.0,0.13111417810942946,0.0,0.7914369120986052,0.8021583811934282,92908.11000000002,153360.28087999998,0.0,13650,0,11210,0.0
"Full model, profit-optimal cutoff",full,profit_single,88581,227352.39727999998,469608.52099999995,242256.12372,2734.8542432350055,0.08049130174642417,0.0,0.05865634283842897,0.0,0.6860201102821927,0.6641603656080167,157713.154,69639.24328000001,0.0,7130,0,5015,0.0
"No-velocity model, three-way policy",no_velocity,profit_three_way,88581,221816.04668,469608.52099999995,247792.47431999998,2797.354673349815,0.0913288402704869,0.013614657770853794,0.06922968958338206,0.013357037591522609,0.7218293869607525,0.7108028227196501,136129.4587,79976.58798000001,6030.0,8090,1206,5919,39.18336403746769
"Full model, three-way policy (capacity-constrained)",full,profit_three_way,88581,220535.07296000002,469608.52099999995,249073.44804,2811.815717140244,0.0701617728406769,0.013275984691976835,0.04881985543521486,0.012643570609838827,0.6882095361660721,0.6663014551646095,157182.6801,57947.39286000001,5880.0,6215,1176,4174,38.208653489271974
