model,roc_auc,pr_auc,n,n_pos,precision_at_1pct,recall_at_1pct,precision_at_5pct,recall_at_5pct,precision_at_rules_volume,recall_at_rules_volume
full,0.9028457773417443,0.5523840099387757,88581,3083,0.8803611738148984,0.2530003243593902,0.42279909706546276,0.6075251378527409,0.5198655256723717,0.5517353227375933
no_velocity,0.9039585305886065,0.5457737215798714,88581,3083,0.8747178329571106,0.25137852740836847,0.4187358916478555,0.6016866688290626,,
