comparison,point,ci_low,ci_high,n_boot_valid,excludes_zero
pr_auc_full_minus_no_velocity,0.006610288358904315,0.0018379208553843146,0.011484925043461248,1000,True
roc_auc_full_minus_no_velocity,-0.0011127532468622192,-0.003831585468839465,0.0015181706948081653,1000,False
precision_at_1pct_full_minus_no_velocity,0.0056433408577878375,-0.007789712601567462,0.01871038988105894,1000,False
recall_at_1pct_full_minus_no_velocity,0.0016217969510217145,-0.006133236882800572,0.009232853975596044,1000,False
precision_at_5pct_full_minus_no_velocity,0.004063205417607241,-0.004732512475749733,0.01238379592618228,1000,False
recall_at_5pct_full_minus_no_velocity,0.005838469023678239,-0.0052481839225890356,0.015822993553989487,1000,False
precision_at_rules_volume_full_minus_rules,0.4697432762836186,0.4534320653732929,0.48638807422694014,1000,True
recall_at_rules_volume_full_minus_rules,0.49854038274408047,0.48035583620628997,0.5170027945384903,1000,True
profit_single_minus_youden_single,213.54459308429574,53.83616728756732,380.6786668077804,1000,True
three_way_minus_rules,2558.705211049774,2264.480429194748,2833.0999483890446,1000,True
three_way_minus_profit_single,76.96147390523927,54.27297354963253,104.83929084961785,1000,True
three_way_full_minus_three_way_no_velocity,14.461043790429098,-137.7177120403924,160.43223136451383,1000,False
three_way_minus_approve_all,2811.815717140245,2530.5608176697033,3109.9318452405137,1000,True
rules_minus_approve_all,253.1105060904709,46.703537050834825,492.0798059290366,1000,True
youden_minus_approve_all,2521.30965015071,2215.5828632212324,2855.3646367166775,1000,True
