margin_rate,churn_penalty,review_cost,review_catch_rate,t_profit_single,t_review,t_decline,val_reviews_per_day,nb1000_profit_three_way,nb1000_profit_single,nb1000_youden_single,nb1000_rules,decline_rate_val_at_t_profit
0.005,0.0,1.0,0.5,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,1.0,0.65,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,1.0,0.8,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,1.0,0.85,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,1.0,0.95,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,1.0,0.98,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,2.5,0.5,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,2.5,0.65,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,2.5,0.8,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,2.5,0.85,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,2.5,0.95,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,2.5,0.98,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,5.0,0.5,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,5.0,0.65,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,5.0,0.8,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,5.0,0.85,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,5.0,0.95,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,5.0,0.98,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,10.0,0.5,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,10.0,0.65,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,10.0,0.8,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,10.0,0.85,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
0.005,0.0,10.0,0.95,9.346832556079255e-05,9.181172797576411e-05,9.181172797576411e-05,0.0,4669.621430442102,4670.823575371603,4136.1617139115615,987.0058159763382,0.5637777853038461
