set,n,fraud_rate,n_fraud,amount_total,amount_p25,amount_median,amount_p75,amount_p95,tenure_days_median,share_new_card,product_W,product_C,product_R,product_S,product_H
"profit approves, Youden declines",6520,0.04984662576687116,325.0,1153356.924,50.0,100.0,193.0,554.0,0.5844618082046509,0.3291411042944785,0.7027607361963191,0.13588957055214723,0.0700920245398773,0.05598159509202454,0.0352760736196319
"profit declines, Youden approves",0,,,,,,,,,,,,,,
both decline,7130,0.2966339410939691,2115.0,1286357.531,39.0,97.0,200.0,702.1999999999971,0.4919559955596924,0.3056100981767181,0.4715287517531557,0.323562412342216,0.10154277699859747,0.04025245441795231,0.06311360448807854
both approve,74931,0.008581228063151434,643.0,9709039.730999999,43.097,60.435,117.0,390.0,10.15449047088623,0.3021446397352231,0.8210753893582096,0.08267606197701886,0.04015694438883773,0.030975163817378654,0.025116440458555205
