feature,gain,gain_share,family
vel_card1_cnt_1h,1692.7987650483847,0.0015174994461840247,velocity
id_14,1642.1362424865365,0.001472083327317886,raw
id_09,1583.8552362062037,0.001419837663757915,raw
D9,1542.4813366942108,0.0013827482761164204,raw
vel_uid_amt_1h,1502.1168554499745,0.0013465637755140211,velocity
M8,1394.6190753020346,0.001250198025958522,raw
C7,1297.904057327658,0.0011634984198127202,raw
vel_uid_cnt_24h,1253.4712086096406,0.0011236668552380362,velocity
ProductCD,1201.2308036759496,0.0010768362530470903,raw
id_38,1195.415842562914,0.0010716234655316404,raw
M7,1173.964369803667,0.0010523934195840003,raw
V265,994.1186803653836,0.0008911718144197395,vesta
M2,969.1794800795615,0.0008688152157481153,raw
D7,934.3642908036709,0.0008376053451268747,raw
id_12,932.4373760856688,0.0008358779738186091,raw
id_03,927.8345312215388,0.0008317517807492347,raw
V221,772.8506945855916,0.0006928174365622557,vesta
V219,771.6810872815549,0.0006917689490085224,vesta
V217,713.2320472598076,0.0006393726525943681,vesta
card4,660.3718322627246,0.0005919864253360152,raw
id_16,628.1339998878539,0.0005630870110730083,raw
V234,616.6057011857629,0.0005527525358494474,vesta
V218,596.114077784121,0.0005343829411844168,vesta
V200,577.932496894151,0.0005180841704734805,vesta
V215,529.3090904727578,0.00047449600521750235,vesta
V273,526.515697684139,0.00047199188476489655,vesta
DeviceType,514.3077080473304,0.0004610481046208061,raw
id_32,494.1304290853441,0.00044296030217050146,raw
V275,490.9702506400645,0.0004401273788841843,vesta
V170,480.1495759934187,0.0004304272490621064,vesta
V195,475.21464966610074,0.00042600336352811033,vesta
V263,467.2964762598276,0.00041890516378523355,vesta
V228,412.4675734639168,0.0003697541179872445,vesta
V188,389.99921871721745,0.0003496124941931086,vesta
id_11,369.3653546869755,0.0003311153887574051,raw
V303,368.5497659370303,0.0003303842590437558,vesta
V216,365.9439315274358,0.0003280482741913012,vesta
V242,355.4669217914343,0.0003186562207468432,vesta
V211,354.6511814184487,0.0003179249551116156,vesta
id_37,342.96603471040726,0.0003074498744203055,raw
V202,329.1586128734052,0.0002950722927351718,vesta
vel_uid_cnt_1h,326.3243378922343,0.00029253152368272203,velocity
V190,312.5751827582717,0.00028020617483909255,vesta
V177,312.56576616317034,0.0002801977333880788,vesta
V168,285.3422981016338,0.00025579341637204566,vesta
V167,249.82306960225105,0.00022395241395073513,vesta
C3,186.4518494233489,0.0001671436582314803,raw
V214,186.2471521012485,0.00016696015852712306,vesta
V183,178.8048379085958,0.000160288539963321,vesta
V184,127.90101410448551,0.00011465610802497503,vesta
V180,127.73367802798748,0.00011450610058838222,vesta
M1,119.90734398365021,0.0001074902296986173,raw
id_36,104.11711946874857,9.333517627394176e-05,raw
id_35,53.911693312227726,4.832881877829713e-05,raw
id_28,44.760566990822554,4.0125345683079295e-05,raw
id_29,35.6879875510931,3.199228547562073e-05,raw
V181,31.094662006944418,2.7874625944371413e-05,vesta
id_15,26.081324487924576,2.3380449161091e-05,raw
id_34,0.0,0.0,raw
