feature_fraction,min_child_samples,num_leaves,pr_auc_mean,pr_auc_std,best_iteration_mean
0.5,50,63,0.5846209590432334,0.02802337464788545,636.0
0.5,50,255,0.6025132273270943,0.029909737039675394,1233.8
0.5,200,63,0.5838610941329472,0.02584137738386939,624.0
0.5,200,255,0.5988692725806886,0.029341755480270217,941.8
